id;name;year_established;country;description;url;image;has_trading_incentive;trust_score;trust_score_rank;trade_volume_24h_btc;trade_volume_24h_btc_normalized
btse;BTSE;2018.0;British Virgin Islands;"BTSE is your Bitcoin futures exchange to trade with confidence and ease.

BTSE‘s mission is to make institutional-grade security and stability available to every crypto trader.

BTSE’s platform is built to facilitate reliable 24/7 trading. It uses an extremely powerful matching engine that eliminates the risk of system overloads, as well as horizontal scaling which enables BTSE to do hot upgrades with zero downtime. BTSE’s insurance fund, strict security protocols, and self-hosted servers allow for the highest level of security for our traders.";https://www.btse.com/;https://assets.coingecko.com/markets/images/464/small/BTSE.jpg?1568012415;0.0;7;68;6157.498286377866;6157.498286377866
paribu;Paribu;;Turkey;;https://www.paribu.com/;https://assets.coingecko.com/markets/images/136/small/paribu.jpg?1527734779;;7;69;4351.550289121547;4351.550289121547
coinone;Coinone;2016.0;South Korea;;https://coinone.co.kr/;https://assets.coingecko.com/markets/images/20/small/coinone_circle_500x500.png?1606460853;0.0;7;70;3006.4031949364326;3006.4031949364326
exmarkets;ExMarkets;2018.0;British Virgin Islands;;https://exmarkets.com;https://assets.coingecko.com/markets/images/363/small/42200149_2115011248752220_3911078373144657920_n.jpg?1551247813;0.0;7;71;5142.246882155403;2900.4813622042852
tidex;Tidex;2017.0;United Kingdom;;https://tidex.com/;https://assets.coingecko.com/markets/images/43/small/favicon.png?1651817092;0.0;7;72;2820.538737700038;2820.538737700038
oceanex;Oceanex;2018.0;Cayman Islands;;https://oceanex.pro;https://assets.coingecko.com/markets/images/341/small/Oceanex.png?1548153658;0.0;7;73;1582.8560482854684;1544.97519857665
catex;Catex;2018.0;China;"Established in August 2018, Catex is a centralized cryptocurrency exchange. It has global communities in Brazil, Vietnam, South Korea, Bangladesh, Russia, Turkey, Middle East, India, Indonesia, and the United States.

Platform has staking, farming and multiple faucets.

The exchange claims to have SNA and microservice-based distributed architecture to support horizontal scaling.";https://www.catex.io/;https://assets.coingecko.com/markets/images/354/small/catex.png?1550735332;0.0;7;74;1271.5596118766407;1271.5596118766407
cryptology;Cryptology;2018.0;Estonia;;https://cryptology.com/;https://assets.coingecko.com/markets/images/287/small/cryptology.png?1541390904;0.0;7;75;1199.541912657872;1199.541912657872
coindeal;Coindeal;2018.0;Malta;"CoinDeal is one of the fastest-growing crypto-fiat exchanges in Europe.

The company is located in Malta and is subject to Maltese regulations.
On 25 November this year, a managerial delegation from CoinDeal went to Malta to meet with the Malta Financial Services Authority (MFSA). This is the next stage that leads the exchange to receive the Maltese VFA license. 
Read more HERE. CoinDeal meets the requirements of the VFA Class 4 and all its activities are legal. 
Its credibility is confirmed by its entry into the American market, which involved meeting a number of legal requirements. Thanks to Coindeal's compliance with all these requirements, it is now available in 13 states. You can read more HERE.

WHAT DO WE OFFER
We are one of the largest exchanges in Europe with more than 40 cryptocurrencies pairs in our offer, including the most popular ones such as Ethereum, Bitcoin or Litecoin and FIAT currencies: Euro (EUR), Dollar (USD), British pound (GBP), Polish zloty (PLN), Swiss franc (CHF)
We always want to provide our users with the opportunity to actively participate in the development of CoinDeal, so by voting for new cryptocurrency users can decide which of them will be added to the exchange. 

CDL TOKEN
CoinDeal exchange created its own Token to give it for free to its users. It was the first Token in the world to be distributed free of charge to so many people. It was as many as 87 549 users of the Coindeal exchange! 45 000 000 000 Tokens were distributed, which is 90% of all created Tokens. When the market opened for CDL, which took place on November 12, 2019, the value of all Tokens was 1 129 382 USD (382 BTC)! In the beginning, CDL is available together with BTC. The pairs planned for the near future are CDL/EUR and CDL/USDT. Additionally, the exchange offers many benefits from having CDL Tokens on your account. Among other things, it is a 0% fee and you can read about it on the official Token website.

SECURITY
Our platform has the highest SSL standard security integrated with Cloudflare functionality. User accounts are protected by a multi-level 2FA verification. For the withdrawal of funds, it is necessary to have an email confirmation, which is also required when using the platform with new IP addresses. 90% of user funds are stored on cold wallets protected by Multisignature.

OUR TEAM
Kajetan Maćkowiak and Adam Bicz  are the main managers of CoinDeal.

Adam has built his long-standing experience in the IT and blockchain sector in the international arena. As the chief programmer at CoinDeal, he is the leader of the team responsible for the development and security of the exchange. Adam operates not only within the BlockchainHouse brand but is also the creator of the BuyCoinNow and Paycoiner payment gateway. 

Kajetan has been involved in co-creating blockchain technology projects for years. His professional experience allows him to effectively develop his business and manage his marketing activities. He created an international umbrella brand, which is BlockchainHouse. He is a co-creator of global brands such as Paycoiner and BuyCoinNow. 
";https://coindeal.com/;https://assets.coingecko.com/markets/images/313/small/2ZP5JaIL_400x400.jpg?1541109266;0.0;7;76;621.5622049732564;621.5622049732564
etorox;eToroX;2019.0;Gibraltar;eToroX is eToro’s professional crypto exchange. Designed exclusively for the corporate and institutional-grade crypto trading community, the eToroX exchange is a highly effective, trusted and secure crypto trading solution, which is licensed and regulated by the Gibraltar Financial Services Commission under the Investments and Financial Fiduciary Services Act (licence number FSC1333B). eToroX currently has more than 30 digital assets, including 17 tokenized fiat and commodity stablecoins, and more than 100 trading pairs.;https://www.etorox.com/;https://assets.coingecko.com/markets/images/503/small/eToroX_Logo_400x400.jpg?1580209571;0.0;7;77;522.7254999017562;522.7254999017562
